time,area,二产用电量,全社会用电量,一产用电量
20190401,杭州市区,28286922,53564762,12019
20190402,杭州市区,28501960,53628989,14025
20190403,杭州市区,28468456,53270758,14244
20190404,杭州市区,23653346,48242787,16126
20190405,杭州市区,24850084,46256790,9751
20190406,杭州市区,25046528,46245993,9715
20190407,杭州市区,25045151,46609235,10822
20190408,杭州市区,24011726,48138421,11369
20190409,杭州市区,,48405854,11936
20190410,杭州市区,24082199,47586488,12562
20190411,杭州市区,21417707,45689416,14367
20190412,杭州市区,23432600,47310453,13642
20190413,杭州市区,24879152,46862905,11023
20190414,杭州市区,24267326,45677046,
20190415,杭州市区,23671769,46880476,11928
20190416,杭州市区,21189837,44619840,12010
20190417,杭州市区,24292569,48081852,12354
20190418,杭州市区,24634328,49161133,12116
20190419,杭州市区,25689061,,11740
20190420,杭州市区,25491115,49139508,10149
20190421,杭州市区,24975370,48404592,10183
20190422,杭州市区,25634624,50855207,10283
20190423,杭州市区,26411535,52820850,10722
20190424,杭州市区,26499063,53375752,11887
20190425,杭州市区,26348117,52989848,11938
20190426,杭州市区,25923094,50756139,12010
20190427,杭州市区,25417960,47885118,11474
20190428,杭州市区,25577878,49376398,11927
20190429,杭州市区,25562207,49698091,12176
20190430,杭州市区,25338040,49496269,12576
